pid,comment,Sentiment_for_model
95,"Hi all, did anyone manage to invest in the last investment note? It was fully crowdfunded when I try to invest around 6 pm yesterday. :(",Negative
96,the amount is small so basically it was snapped up in a few minutes after launched.,Neutral
97,@frank70 Did you invest? Hope FS can approve bigger deal next time.,Neutral
98,@james93 the email about this invoice financing was sent out at 330pm and the funding started at 530pm.  I logged in at about 540pm and it was fully funded LOL.,Negative
99,But do note that the cost is 15% of the total interest received.  A high cost one.,Negative
102,@vamsi7 Thanks! it was certainly helpful! cheers.,Positive
103,"@diana-0 Hi, could I seek clarification on the following as well: 1. How long will the debt collection exercise go on for? For example, if only 50% is recovered, will the remainder be collected at a later date or be written off?  2. If an issuer defaults, does it have legal obligation to pay off the FS debt if and when it generates revenue? 3. For issuers who default, and who are subsidiaries/held by other companies (e.g. Listed companies) or have directors with free cash flow, are they obligated to 'bail' out the issuer?  4. Does FS invest in ALL issuers listed on FS? If yes, is there a minimum amount and is it done via the FS platform (i.e. FS's investment counts towards funding goal)? Would FS then pursue to recover the monies in the event of a default?",Neutral
104,"Just for illustration purposes, i have received around $1750 in principal, $90 in interest (including late fees) and have been charged $13 in fees.   That's around 12 to 14% in fees effectively. Which is quite high considering the possible risk of losing your capital if an issuer defaults.",Negative
107,"3. How will you ""request"" the funds from them? Can legal action be taken to force them to pay up or declare bankruptcy?",Neutral
108,"What happens to the interest earned from the Trust Account? Is that a ""profit"" of the Escrow Agent (Malaysian Trustees Berhad) or Funding Societies?",Neutral
109,"@frank70 IMO while the 15% fee brought down the return from 10.8% p.a. to 9.18% p.a., it's still quite an attractive investment especially when it's only 30 days so there's much less uncertainty.",Positive
110,I noticed that Funding Societies / Modalku has yet to disburse the loans even though they have been Fully Funded.   Is there a specific reason for this?   I don't see why you should be waiting to disburse the loans if you've receive 100% of funding from Investors?,Negative
111,"In the Investment Repayments & Loan Details, what the 'Terms' represent? The number of payments throughout the entire loan period (e.g. 12 terms for a 1 year loan is monthly repayment)?  In the future, could the Investment Repayments also show when future payments are due? Better yet, each icon (on time, late etc.) could show details like amount or remarks when hovered over?   This would be great in the absence of a statement (that shows info like whose funds have been received, or which issuers' payments are due this month) as it's quite difficult to keep track using just the Loan Portfolio aggregated figures.  Thank you!",Neutral
116,"@jlhc Based on the posts here http://forum.letscrowdsmarter.com/viewtopic.php?f=7&t=43 (regarding late payments by a Singapore issuer), FS issued a Letter of Demand to the Director/ Personal Guarantor. When that failed, a writ of summon was issued, the costs of which were borned by investors who voluntarily contributed to it.  I wonder if repayment can be demanded from their parent / holding / sister companies. Otherwise, it doesn't really matter whether the issuer is a subsidiary of a listed or blue-chip company.",Neutral
117,"Does the invoice serve as 'collateral, and will the issuer's customer pay FS directly when the invoice is due (as opposed to paying the issuer)?  And in the event of a default, who would action be taken against (i.e. who is responsible to make repayment)?  Thank you.",Neutral
118,"Since 2 parties are involved in the contract, who is responsible to make the repayment when default?",Neutral
122,"That is a good question, can someone answer this?",Neutral
123,"This article aims to help you understand the benefits of being a P2P lender, and to clear the air over some of your potential concerns.  Here's the link : https://loanstreet.com.my/learning-centre/peer-2-peer-lending",Positive
143,"What I find daunting is that P2P is not secured, as in I could lose my invested capital. Do other people feel this way?",Negative
147,"To me, yes, it's less risky, because invoice financing is ""secured"" by the invoice underlying the deal. Term loans on the other hand, are unsecured so the level of recourse you get is obviously lower.  That being said, as yscenteno mentioned, there are 2 types of invoice financing; one, where the buyer is liable to pay the financier directly (i.e. notified basis), and one, where the buyer pays the seller/SME before paying the financier (i.e. non-notified basis).  Invoices financed on a notified basis are more ""secured"" vis-a-vis those financed on a non-notified basis - since, (a) the buyer is aware of this arrangement and (b) payment is made directly to the financier. This difference in risk level is reflected in the interest rates on the market as well - interest rates for those financed on a notified basis is slightly lower than those on a non-notified basis, since it's slightly less risky.  TL;DR : Yes, less risky, but difference in risk levels depend on whether it's financed on a notified / non-notified basis :)",Neutral
148,May I know how should I calculate for the ROI of my portfolio?  Should I calculate based on the invested amount or the initial capital I have put in? What is the most accurate formula to calculate?,Neutral
149,"@james93  Hi James, I think the average net return is accurate enough.",Positive
153,I have made an investment of RM1000 but I still haven't received my RM50. When will I get the RM50?,Negative
157,"Hi, I am new to Funding Societies. I just signed up and I having problems understand the factsheet. I don't really understand these ratios, like gearing and liquidity (its under the financial part) can someone help explain to me what they mean and how it's useful for me as an investor?",Neutral
163,"Hi all, I just registered an account with Funding Societies, am wondering is that any default case in MY?",Neutral
171,"Hi all,   What is the top 3 criterion for you to assess an SME?    * Financial performance  * Company background  * Director background * Industry  * Future cash flow projection   Feel free to add in more criteria.   To me, the top 3 ranking is  1. Future Cash Flow projection  2. Director Background  3. Financial Performance",Neutral
172,1. Industry 2. Financial performance  3. Company background,Neutral
173,I have invested in 5 SMEs and all my repayments are on time. Not sure with the other SMEs.,Neutral
177,@yscenteno   Thank you!,Neutral
178,"Hi Emma, I find this website to be useful: http://www.investopedia.com/ you can just search the terms there and it will give you a breakdown on what it means.",Positive
186,Can someone give a simple overview of the fact sheet? The results I get in investopedia are difficult to understand.,Negative
188,Wow..! 0% default rate is impressive..! Hope you guys can maintain a low default rate even as you keep growing..!,Positive
192,"it's easy to maintain a 0 default rate when a platform is new.. But once they start growing, the credit underwriting process and general market conditions determine the default rates. Although, funding societies stats do look really good compared to other platforms in p2p space..!",Positive
193,"You might wanna change the title topic and describe it better. Right now, its hard to understand what the topic is about.  Saying that, what I look for in an investment decision,  1. Financial performance 2. Future cash flow projection 3. Industry",Negative
194,Do check out the statistics for the FS Singapore at https://fundingsocieties.com/statistics to see what could (possibly) be in store for the Malaysian platform.,Neutral
198,Looks the same stationary company who cf on the platform before?,Neutral
199,"1 month loan? shorter tenure, smaller risk haha!",Positive
204,Auto Invest works great for smaller loans like these,Positive
205,"I have the same question too. My question is, if the loan states a return of 12% Per annum simple interest based on my principal and the tenure is 1 month, am I going to get 12% from that 1 month or 1%?",Neutral
210,@jeff The tenor is only one month ? Why so short ? ahaha,Neutral
211,hi may i know more about it,Neutral
212,"@thomazio92  Shorter tenure, lesser risk. ;p  This SME has cf with fundingsocieties 3 times before",Positive
213,means RM100 x 10.8%/12 for the return per month?,Neutral
214,"May i know, how long my money will be stuck?  as the tenor is only 1month. may i withdraw, after a month?",Negative
215,You're right! @Lim-YJ You can withdraw after you receive the repayment. @Mr-Wong,Neutral
217,@lim-yj said in [New investment opportunity\! \[MBBT\-17090035\]](/post/213): > means RM100 x 10.8%/12 for the return per month?  does this formula applies to all funding opportunities?,Neutral
219,Do we have to pay service  ? How much? Is it from investment amount?,Neutral
222,After minus 2% actual return is 9.5% right,Neutral
225,"Can share what do you mean by ""effective interest rate p.a"" ? For this case, it's 20.59% ,  how does it effect the return?",Neutral
227,What's the different between simple & effective interest rate p.a?,Neutral
232,"@alee-jay-iii If I'm not mistaken what they mean is this is the return you will have if you reinvest the return of this investment into another investment, sort of like compounding interest.",Neutral
233,@jeff said in [New investment opportunity \[MBBT\-17090013\]](/post/229): > https://app.intercom.io/a/apps/bmqdkdd5/educate/articles/1015971/show  The article is hidden behind a login page.,Negative
238,@vamsi7 Please describe the manufacturing activities? And what the rm200k funds is for?,Neutral
239,"what is the percentage (%) of ""possibility of default"" inside Credit Bureau Malaysia report ?   Pls advice  Thanks",Negative
240,(1) The service fee is only 1 time chargeable to us ?  (2) What is the different between the simple interest & effective interest ?,Neutral
241,Can crowdfund invest in property business?,Neutral
242,Is the service fee 2% payable by investor?,Neutral
247,@jeff which means the service charge 2% is subject to the interest as well?,Neutral
248,2% service charge subject to Investment Amount or Investment Amount+Interest,Neutral
249,@jeff the info it's not in fact sheet  So I'm raising the question  nvm Any how the period it's over,Negative
252,What much % interest for the borrower from amount funding rm142000?,Neutral
254,pls confirm or check your posted service fee (15% on interest amount).,Neutral
255,How to invest  with low money,Neutral
256,the service fee is very high?,Negative
259,"Currently, we need to first wire our own fund from internet banking to the platform with our IC number as reference.  We then have to write an email to inform the platform about the transfer.  This is so 2000's.  Take a look at other P2P platforms.  Investors are able to perform fund transfer directly from the platform itself without all the chores I mentioned, without any additional charges.  I wonder what the level of difficulty is to implement this small feature to make people want to invest more?",Neutral
260,"yes. FS should improve their deposit process. its so cumbersome make a deposit now. @frank70 what other platforms have a direct deposit functionality? as far as I know, it takes atleast a day for most of the firms to process the deposits.",Neutral
263,how long does it usually take to disburse funds after they have been fully funded?,Neutral
266,that's great.! looking forward to using the new features.,Positive
279,"@jonhan for P2Pfunding, there is this fundaztic.  Depositing fund is almost immediate.",Positive
280,@vamsi7 thank you.  That's great to hear.,Positive
287,Mind to explain what is the difference between simple interest and and effective interest rate?,Neutral
290,@LinDa5355 this has been discussed before. see these threads  https://www.crowdfundtalks.com/topic/69/understanding-interest-rates-effective-vs-simple/4  https://www.crowdfundtalks.com/topic/74/can-i-achieve-the-effective-interest-rate-yes,Positive
293,@frank70 so you invest in fundaztic as well? what other companies do you invest in?,Neutral
300,1)May i know what your means Tenor ? invest the fund for 1 month ? 2)Can we invest by daily ? 3)How can we start to fund it ?,Neutral
301,Tenor refers to the duration of the loan. I don't think you can invest daily as the money will be given to the borrower in a lump sum.,Neutral
304,"If I put in rm1000, what will I get back nett in one month time, after deducting the service fee",Neutral
306,"Business Term Financing [ID: MBBT-17100024] Industry  	: Wholesale Trader  Funding amount	: RM310,000     Tenor	: 1 month Simple interest rate	: 10.80% p.a. Effective interest rate	: 10.80% p.a. Minimum investment amount	: RM 100 Date / Time Crowdfunding Service fee	 	: 27/10/17, 10:00am  : 0.16%   The below from fact sheet  Investors' Net Return Monthly Net Return Amount RM312,289.54 Financing Net Total Return Amount RM312,289.54 Financing Net Total Return % 0.74% Financing Simple Interest Rate % P.A. 8.86% Effective Interest Rate % P.A. 8.86%  what is the difference between simple interest rate and financing simple interest rate ?",Neutral
316,"Hi,         Is there a way to speed up the deposit verification process. sometimes it take more than 2 days only updated in the account. FPX maybe one option or follow FS SG method which they can update the account within few hours. thk u.",Neutral
319,I think admin did mentioned that something is being done to implement this fpx funding option. I did mentioned this to Ceo - Mr Wong Kah Meng during my last visit to Fundingsocieties office.,Neutral
327,"is it possible to deposit using TransferWise now ? If I make a swift from my Singapore account , swift expenses plus your receiving bank forex rate cost me 5% of transferred amount ! Doing the same thing using TransferWise would cost me 1% instead.",Neutral
330,"Effective interest rates won't be any different for loans with 1 month tenor. The idea behind effective interest is if an investor re-invest his repaid funds at the same interest rate and tenor loan, compounded.",Neutral
333,@Gaudente Not sure if we can use an international bank account to deposit funds into FS's account. You need to have a local bank account right?,Neutral
336,I am a foreigner non resident in Malaysia. As I have a brokerage account at Jupiter Securities to trade stocks on Bursa Malaysia and receive various dividend I visited Kuala Lumpur past February to open a bank account to cash the dividend cheques. No bank accepted to open it. Amazing Malaysia.,Negative
339,"What if borrower business failed and unable to pay the loan?  not good in english writing so just keep it short ,thx",Negative
340,"Invoice Financing : MBIF-17110002 Industry : Construction Funding amount : RM500,000 Tenor : 2 months Simple interest rate p.a. : 14.0%p.a Repayment : Bullet, end of tenor period. Minimum investment amount : RM 100 Service fee : 15% on interest amount  RM1000 X 14%/12  rite?",Neutral
341,is this secured through an insurance policy?,Neutral
342,"Business Term Financing : MBBT-17110004 Industry        :  Manufacturing  Funding amount      :   RM300,000 Tenor      :  6 months Simple interest rate p.a.      :  12.0% Effective interest rate p.a.  : 20.29% Minimum investment amount      :  RM 100 Service fee : 1%",Neutral
343,May i know how to start to invest ?,Neutral
344,may i know how to start invest ?,Neutral
348,Funding Societies will use debt collection agency and they also take a personal guarantee from the company director in their loan contracts.,Positive
351,"Since Funding Societies P2P financing is an investment, borrowers not being able to repay is a risk an investor takes. That said, failure of borrower business occurs very rarely. Historically, Funding Societies default rate is 1.5% so all thing's considering, it's a safe instrument.",Positive
360,It looks like I've just received an email from you guys about this now.   Do you know why is there a delay to the notification emails?,Negative
361,IMO the best way is to use FPX where everything is instant. It shouldn't be too hard to implement it into FS's system.   I know brokerages like Rakuten Trade does this and they even provide the account balance with daily interest.,Positive
362,Anyone can explain to me what is simple interest rate?,Neutral
363,Is there any plan to include FS into Jompay Biller anytime soon?,Neutral
364,@ballack-lai This should help you out:- ![alt text](https://fundingsocieties.com.my/assets/img/interest_rate.jpg),Positive
365,@jlhc Thanks for your explanation. Another question is: How much will the investor get back then based on this Investment Oppurtunity?,Neutral
366,"@ballack-lai Assuming that you invested RM100 and everything goes to plan, here's how to calculate how much you will get back at the end of the tenor.   Investment Amount: RM100 Interest: RM100 x 13% = RM13 Service Fees: RM13 x 2% = RM0.26  RM100 + RM13 - RM0.26 = **RM112.74**  Where **RM100** is your principal while **RM12.74** is your interest (Net Return of **12.74%**).",Neutral
373,Thanks. This is helpful.,Positive
378,"@reymond-chin I think if the tenor is 2 months, let say, you invested RM100 in  MBIF-17110002, the real calculation should be 14%/12*2 = 2.3333% which is the interest that you are getting back. 15% of RM2.3333 = RM0.35  RM (100+2.3333-0.35) = RM101.9833   Good thing is you get back your fund within two months. (Provided its not a bad debt)  Please correct me if Im wrong admin.",Neutral
380,@jeff Do you have any factsheet ?,Neutral
384,Or Molpay is also good.,Positive
394,Pls send more infomation.thx.,Positive
395,What mean is simple & effective interest rate? monthly invesment rm100? What mean Pre cf?,Neutral
396,"It looks like all the new investments have the Name of Issuer omitted.   Is this the new policy for Funding Societies going forward?   If the Issuers are given the choice to hide their name without any repercussions or disadvantages, I believe none of them will ever choose to reveal their names to us which will lower our ability to perform risk assessment on their financing request.",Negative
399,When did this new policy started? In the past we were told of the Issuer's name upon disbursement of funds.,Neutral
402,@Tommy-Ang this is even more clear to understand. https://www.crowdfundtalks.com/topic/69/understanding-interest-rates-effective-vs-simple,Positive
403,Is the service fee 2% on Interest earned or Principal invested? @yscenteno,Neutral
413,nice.. the number loans are increasing week by week..! Keep going..!,Positive
415,Are the borrowers given a choice to reveal their names? some of them might be okay with doing so.,Neutral
416,Pre Cf is amazing. Gives time to make our due diligence on the SME.,Positive
418,"Saya Muslim jadi adakah pengilang ini tiada terlibat dengan arak,riba,judi dan lain-lain?.Bagaimanakah nak mulakan pelaburan?. Terima kasih.",Neutral
419,"Saya muslim ,jadi adakah pengilang patuhi syariah yakni tiada terlibat dgn arak,judi,riba dll?. Bagaimanakah saya hendak mulakan pelaburan?. Tq.",Neutral
422,"Backward thinking from more transparent to opaque, makes investor wonder about the black box operations between the borrowers and FS.",Negative
423,"And it is not only the name of the borrower, sometimes FS deliberately conceal parts of the financial reports or other important information, which I speculate has unfavourable information they do not want the investors to find out.",Negative
424,I am relatively new to FS and had missed this opportunity today and wonder how I am able to obtain the term sheet of this and previous ones to come up to speed for future opportunities?,Neutral
425,"@andi I think factsheet is only accessible for someone who invested in that loan. (But need admin to clear this point) If you have any specific questions, any one of us on the forum can answer that.",Neutral
426,"To be fair ., I feel that FS did the right thing to omit the name of issue in the factsheet., on the premise that FS have done proper due d on the issuer, which I am sure it have.  Imagine this; as each investor could invest as little as rm100 in each note., the number of investors could be quite large. In the event the issuer start to default in a small way some of the investors may take unjustifiable action to harass the issuer by calling or visiting them. This may lead to unnecessary problem which may get out of hand. 😨😨",Negative
427,"Hi, may i know why I'm not able to see this investment in my account?",Neutral
428,@zackchong This deal is already fully crowdfunded. They usually get picked up very fast.  You should configure your auto invest settings so that your funds will be automatically allocated instead of you manually having to login every time there is a cf. https://www.crowdfundtalks.com/topic/12/how-does-auto-invest-work,Neutral
429,Yeah. factsheets are usually only available to activated investors.  @andi are you fully activated on FS platform?,Neutral
433,We can invest in Singapore and Indonesia FS as well?,Positive
435,"I don't know for Malaysia citizens (any forex restriction ?) , but I did open accounts at both of them as a non resident foreigner.",Neutral
437,"Yes you can. Documents that I've submitted to the other 2 countries are about the same, though the process is somewhat different.",Neutral
439,"@kahmeng Thank you for your clarification, I recall your colleague Jeffrey spoken in a webinar organised by a blogger in July 2017 said that the company name will be disclosed upon successful funding, and I signed up soon after that. However based on my personal experience none of the deals I vested in has ever disclosed the names. Perhaps you need to get everyone in your team on the same page. And since you guys are not disclosing the companies' name anyway, please consider rephrase that “The Issuer had specifically requested for anonymity” or ""Company's name will not be revealed to investors at the request of the Issuer"", this projects an image which is contrary to what your policy is.",Neutral
443,@richardchung85 I think you can. But you might be subjected to extra taxes.,Negative
447,Alright! Thanks for the info guys!,Positive
456,"@jonhan - Thanks.  Yes, the factsheet is accessible to the investor.  Need admin to clarify if one is able to access the factsheet having missed the window of opportunity as in the recent case; by evening, the opportunity was already filled and was unable to read the factsheet.  @Rajni123  - I am fully activated on FS platform.",Positive
458,@yscenteno what is the maximum investment allowed?,Neutral
459,"@andi oh.. i see. for factsheets, need admin to clarify But you can see a sample facsheet in your dashboard, if your intention is to get familiar with how to read and make sense of a factsheet.",Neutral
462,"ok thanks. 1 month tenor is great for a quick and easy return. Also, why is the simple and effective return the same here?",Neutral
467,Any expired date to invest on this?,Neutral
470,where can i get the factsheets?,Neutral
476,"@vamsi7 how do I go to the ""Browse Loan"" dashboard? tq",Neutral
478,"10.8% pa , for this case is 1 month so it wil be 10.8% /12 month?",Neutral
490,@richardchung85  https://www.crowdfundtalks.com/topic/104/cross-country-investing-with-funding-societies  I think there is a withholding tax of 15% have you already signed up with FS singapore or indonesia?,Neutral
499,@jonhan thanks for the link! I have not registered yet with FS spore and Indonesia. Have to look into the details first.,Neutral
500,"I am attempting to do so now with the Singapore platform. So far so good. That said, a quick check indicates that I'd be losing c.1.5% as transfer and exchange rate expense for every Ringgit I transfer to Singapore. But I am keen nonetheless.",Positive
501,@jonhan - do you have a link on this withholding tax? Wonder how it works.,Neutral
